index,geometry
502,POINT (120917.4742613416 488688.0324156152)
503,POINT (121455.1779835809 488423.8855610054)
504,POINT (121398.906801605 488430.5674181232)
505,POINT (121439.1635049206 488432.2065365131)
506,POINT (121400.8418769705 488433.448787075)
507,POINT (122335.1535279403 487348.1544738389)
508,POINT (121529.4491223553 488047.5595247232)
509,POINT (121565.2309266638 488022.71046027)
510,POINT (121533.1148255442 488045.6028080899)
511,POINT (120474.035493719 488154.7598866901)
512,POINT (120709.3223227699 487482.3052001785)
513,POINT (120482.7807028286 488147.1518436027)
514,POINT (120515.3280256483 488231.4211715399)
515,POINT (121549.486509567 486591.5188217898)
516,POINT (121525.7302481063 486069.3278082737)
517,POINT (120414.4685755148 488007.9360739925)
518,POINT (121376.9009398615 487775.7185843663)
519,POINT (120420.9210675127 487988.9972666489)
520,POINT (120809.2200631901 486390.6309239056)
521,POINT (121582.2287332613 486755.9678791946)
522,POINT (121546.055886222 486755.3924229555)
523,POINT (123721.6392999553 486720.3649248375)
524,POINT (123766.9661470586 486722.045153967)
525,POINT (123724.2776871508 486720.663019938)
526,POINT (123668.7328902663 486719.0213811001)
527,POINT (123644.2645971216 486719.4556250226)
528,POINT (123676.8790840325 486720.3801266071)
529,POINT (123719.9079521238 486721.0699564205)
530,POINT (123746.0905200742 486720.8896666758)
531,POINT (123717.8625717374 486721.168523512)
532,POINT (123643.4256131537 486718.2457097456)
533,POINT (123885.4044541547 486722.0578153888)
534,POINT (123889.4382148862 486724.3873782133)
535,POINT (123901.7617487927 486721.7088394882)
536,POINT (123951.8271252429 486723.3986743619)
537,POINT (123840.5085651103 486723.2950716608)
538,POINT (123870.6799717682 486723.867281845)
539,POINT (120766.5455705305 487174.7754728082)
540,POINT (121146.3573122081 488538.4673552091)
541,POINT (121372.7633003211 488656.5031306404)
542,POINT (121363.7047415356 488627.8471243418)
543,POINT (123780.7434800749 486709.9582217276)
544,POINT (123813.7137077263 486709.9506291823)
545,POINT (123763.3514151631 486708.9730480075)
546,POINT (123793.2388330426 486709.7069458237)
547,POINT (121904.8857781176 486957.675605588)
548,POINT (121928.0467834146 486941.6945616329)
549,POINT (121302.5385866619 485830.4451208247)
550,POINT (121299.5319447792 485829.3640012619)
551,POINT (121296.3186660493 485828.9340659893)
552,POINT (121315.9844871187 485834.2541036896)
553,POINT (123999.2299696633 487090.4348781263)
554,POINT (123994.7210742261 487095.0699175748)
555,POINT (123959.5491838137 487052.4097454225)
556,POINT (123967.0874995913 487053.2835154992)
557,POINT (124029.2128715095 487068.2425084001)
558,POINT (123972.4896156152 487035.1857393731)
559,POINT (123981.6586294438 487041.6133219763)
560,POINT (120580.3014598581 486431.9711692816)
561,POINT (120687.4297244476 486251.5755399042)
562,POINT (120678.9887841693 486269.7079012881)
563,POINT (120628.0275607419 486332.8478190455)
564,POINT (120640.5662864025 486329.1138056237)
565,POINT (120678.7375480889 486285.3849185482)
566,POINT (120724.1913941991 486242.9083175826)
567,POINT (120685.5250182137 486272.3585140737)
568,POINT (120719.7001274105 486238.9414712438)
569,POINT (121160.7723860329 485743.816144568)
570,POINT (121179.746276815 485862.9070913441)
571,POINT (121154.787187267 485737.6687767259)
572,POINT (121162.9447790691 485794.0037512457)
573,POINT (121159.9886890316 485740.008661088)
574,POINT (121157.8676249974 485743.9338643349)
575,POINT (121176.991518293 485867.0999001296)
576,POINT (121158.1208714701 485739.5260930685)
577,POINT (121168.7482796818 485803.0105604909)
578,POINT (121182.3346328248 485871.8291887646)
579,POINT (121164.0937140673 485798.7785563719)
580,POINT (121168.0414701776 485796.0927160751)
581,POINT (121157.5634278817 485732.3137616213)
582,POINT (121164.8370099903 485802.5116099053)
583,POINT (121155.883984846 485733.4889234414)
584,POINT (121174.550630742 485854.7680558402)
585,POINT (121176.6119030141 485864.9096395238)
586,POINT (121164.7283070676 485792.5889520292)
587,POINT (121430.9653619411 487459.2510824475)
588,POINT (121353.4070608111 487341.1209497915)
589,POINT (121355.5336304613 487346.0111620984)
590,POINT (121458.3277748135 487493.7069062466)
591,POINT (121473.2151012172 487512.9151104869)
592,POINT (121468.4767826291 487506.8580206585)
593,POINT (121427.5746834202 487455.1994463706)
594,POINT (121441.8722448898 487472.8050958797)
595,POINT (121352.4196981607 487338.1967996397)
596,POINT (121454.5069694273 487488.7971597573)
597,POINT (121468.7174251979 487507.2235035974)
598,POINT (121354.6201571792 487344.2652960821)
599,POINT (121428.9173539472 487456.7744520414)
600,POINT (121435.8068722058 487464.8754546772)
601,POINT (121446.42248967 487478.928881113)
602,POINT (121433.0926733449 487461.8250906157)
603,POINT (121430.930448535 487459.130250892)
604,POINT (121464.0493644989 487501.1379438884)
605,POINT (121469.8079809956 487508.4886518123)
606,POINT (121455.4646541189 487490.1145986944)
607,POINT (121353.5709196581 487341.5000482423)
608,POINT (121452.5068742592 487486.6805280796)
609,POINT (121357.0376859543 487350.227917468)
610,POINT (121433.0702295621 487461.8308174459)
